First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Jan 	Kajstura	Kajstura J	Clinical Medicine	Harvard University, USA				4670c21c-6c25-4033-aaa8-a9308e38ef1e
John A	Kanis	Kanis JA	Clinical Medicine	The University of Sheffield, UK				228c1813-c9cc-412c-b144-333223461985
Hagop M	Kantarjian	Kantarjian HM	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				a68d6d3c-5da7-4fe6-94bf-c7c6155feb38
Jihad H	Kaouk	Kaouk JH	Clinical Medicine	Cleveland Clin, USA				5429d092-0d20-41cd-a0e3-aa135c412928
John J P	Kastelein	Kastelein JJ	Clinical Medicine	University of Amsterdam, Netherlands				93633d65-9bbe-40bc-b23e-837833492b49
Adnan 	Kastrati	Kastrati A	Clinical Medicine	Deutsch Herzzentrum Munich, Germany				dedfe682-9b1e-4f77-bd88-9996c0f8e3cf
Hugo A	Katus	Katus HA	Clinical Medicine	University of Heidelberg, Germany				40068aa4-7be5-4bee-ae6c-ef7d9d2aac5a
Kay-Tee 	Khaw	Khaw KT	Clinical Medicine	University of Cambridge, UK				4ee9512f-c029-436c-b37c-8ce3c6a97515
Shinji 	Kihara	Kihara S	Clinical Medicine	Osaka University, Japan				34fa0772-33ab-4f2e-b23a-e70f963c3aae
Kenneth W	Kinzler	Kinzler KW	Clinical Medicine	Johns Hopkins Kimmel Canc Ctr, USA				e3d573c3-32ae-4fb3-8d93-cbb033760ad7
Sverre E	Kjeldsen	Kjeldsen SE	Clinical Medicine	University of Oslo, Norway				41901a1d-732b-40b8-986d-19a2d2a1d5bb
Lars 	Kober	Kober S	Clinical Medicine	Rigshosp, Denmark				027a2086-55bf-44c9-b6d9-29c6ed9920e0
Frank D	Kolodgie	Kolodgie FD	Clinical Medicine	CVPath Inst, USA				860df4f5-491a-4cfa-8c29-a5937bd9aa3a
Michel 	Komajda	Komajda M	Clinical Medicine	Hop La Pitie Salpetriere, France	Pierre and Marie Curie University - Paris 6, France			9ada9ea8-102e-4305-b24f-347829c9140a
Mark G	Kris	Kris MG	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA				f65e811c-1322-4390-b990-cc917685cd21
Guido 	Kroemer	Kroemer G	Clinical Medicine	University of Paris Descartes (Paris 5), France	Gustave Roussy Comprehensive Cancer Center, France; INSERM, France			0194b134-a31b-4b82-bd4c-4fa20464ae54
Harlan M	Krumholz	Krumholz HM	Clinical Medicine	Yale University, USA	Yale-New Haven Hospital, USA			d886d0c4-2556-44d5-928b-f655ee2867ed
Lewis H	Kuller	Kuller LH	Clinical Medicine	University of Pittsburgh, USA				2cb5ffbe-60ff-4a28-9a9c-9e0fb35602ee
Robert A	Kyle	Kyle RA	Clinical Medicine	Mayo Medical School, USA				7fa3cc79-8c63-467f-9387-509263cd803e
Andrea Z	Lacroix	Lacroix AZ	Clinical Medicine	University of California, San Diego, USA				7e236987-91bd-44b2-b1bf-74e042a6bce8
Eric S	Lander	Lander ES	Clinical Medicine	Broad Inst Harvard & MIT, USA	Massachusetts Institute of Technology (MIT), USA; Harvard University, USA			c1d9a278-6aad-44b9-bb14-e49b10b23f44
Robert B M	Landewe	Landewe R	Clinical Medicine	University of Amsterdam, Netherlands	Atrium Med Ctr, Netherlands			1e244bf1-a1e5-4d12-ae5d-1da22437655e
Alexandra J	Lansky	Lansky AJ	Clinical Medicine	Yale University, USA				874c6636-7ccb-4b19-b72d-b324e1cc905c
Martin G	Larson	Larson MG	Clinical Medicine	Boston University, USA	Framingham Heart Dis Epidemiol Study, USA			1fdba883-828c-4cb2-bfac-63cf90709b6f
Richard A	Larson	Larson RA	Clinical Medicine	University of Chicago, USA				7fbb53eb-4fcb-43bc-8db6-941249b008bd
Martin B	Leon	Leon MB	Clinical Medicine	Columbia University, USA				8664a36b-5867-48da-8381-038fd50a9f91
Annarosa 	Leri	Leri A	Clinical Medicine	Harvard University, USA				a6f29b1a-7c96-4c2f-a250-a3d447fca77c
Andrew S	Levey	Levey AS	Clinical Medicine	Tufts Med Ctr, USA				6651ba3f-cd76-44d5-bb4c-0492f9bfb5fa
Daniel 	Levy	Levy D	Clinical Medicine	Framingham Heart Dis Epidemiol Study, USA	NHLBI, USA			e2f69b24-78b6-4a2c-8da0-0c3b7fee0a40
Peter 	Libby	Libby P	Clinical Medicine	Brigham & Womens Hosp, USA				5efceada-c56c-413b-a95a-7a35b686723b
Gregory Y H	Lip	Lip GY	Clinical Medicine	University of Birmingham, UK	Aalborg University, Denmark			8856b98f-74cb-42c9-8221-7a4a931a726a
Chang-Gong 	Liu	Liu CG	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				d8d48fbd-8796-4b8d-ba5c-4ced13830e8b
Josep M	Llovet	Llovet JM	Clinical Medicine	University of Barcelona (75%), Spain	Icahn School of Medicine at Mount Sinai (25%), USA			acd38195-c1d9-4710-b8ae-bf356c5a6e74
Donald M	Lloyd-Jones	Lloyd-Jones DM	Clinical Medicine	Northwestern University, USA				7aa70421-34e3-493f-ab37-70116ce31dab
Anna S F	Lok	Lok AS	Clinical Medicine	University of Michigan - Ann Arbor, USA				3080c9c5-9048-4da2-bad7-a168eadd1d1c
Thomas J	Lynch	Lynch TJ	Clinical Medicine	Yale Canc Ctr, USA	Yale University, USA			6ed8582c-346c-4be3-933b-79aaa857be9a
Aldo Pietro	Maggioni	Maggioni AP	Clinical Medicine	Assoc Nazl Med Cardiol Osped ANMCO Res Ctr, Italy				fee572f8-7272-44e5-b2f4-404e0ebe8b4f
Giuseppe 	Mancia	Mancia G	Clinical Medicine	University of Milan - Bicocca, Italy				8805a1fb-c5df-427f-8840-7340aa1ad4b7
Michael P	Manns	Manns MP	Clinical Medicine	Hannover Medical School, Germany				b048c050-e113-485d-9185-5fcb7385b820
Joann E	Manson	Manson J	Clinical Medicine	Harvard University, USA				263b06de-534c-42a6-aecc-42f69140858a
Patrick 	Marcellin	Marcellin P	Clinical Medicine	Beaujon Hosp, France	University of Paris Diderot (Paris 7), France			c1677538-8581-4c97-b22a-a749deb1310a
Guido 	Marcucci	Marcucci G	Clinical Medicine	The Ohio State University - Columbus, USA				b9d2ad81-b5eb-4f34-a102-1a21b8e79bf4
Elaine R	Mardis	Mardis ER	Clinical Medicine	Washington University in St. Louis, USA				87db163a-193b-4a18-b67e-97180eb74633
Joseph M	Massaro	Massaro JM	Clinical Medicine	Boston University, USA				87078e8e-e190-48af-81a8-86958743ecbc
Colin Douglas	Mathers	Mathers CD	Clinical Medicine	WHO, Switzerland				f9094f8c-9e63-401f-8e51-41c2fc9f3850
Yuji 	Matsuzawa	Matsuzawa Y	Clinical Medicine	Sumitomo Hosp, Japan				274fbf04-ae07-45c9-a121-b565d108180a
John G	McHutchison	McHutchison JG	Clinical Medicine	Gilead Sci, USA				b55c3d58-efb0-4d55-8d97-bb5f10ef0cec
John J V	McMurray	McMurray JJ	Clinical Medicine	The University of Glasgow, UK				3feccd63-ce5a-4bd1-bae6-ebb81049c72f
Julinda 	Mehilli	Mehilli J	Clinical Medicine	Deutsch Herzzentrum Munich, Germany				b740863e-e322-4822-a5f0-cf0d684e61b7
Roxana 	Mehran	Mehran R	Clinical Medicine	Mt Sinai Med Ctr, USA				d0c21650-802b-44d5-b632-088b151fdbc7
James B	Meigs	Meigs JB	Clinical Medicine	Harvard University, USA	Massachusetts Gen Hosp, USA			670cd84e-7b99-4db1-9a7e-3614101a03b5
Lee Joseph	Melton	Melton LJ	Clinical Medicine	Mayo Medical School, USA				a7ae56af-7435-4129-b158-e47f316cebcd
Matthew L	Meyerson	Meyerson ML	Clinical Medicine	Brigham & Womens Hosp, USA	Broad Inst MIT & Harvard, USA; Dana Farber Canc Inst, USA			41f26852-26d9-488a-8fc6-b439020894d9
Vincent A	Miller	Miller VA	Clinical Medicine	Foundation Medicine, USA				962309eb-73e4-4297-9332-6d55d189a45d
Gordon B	Mills	Mills GB	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				7a539fa4-4d65-44ac-b590-cee215844157
Constantine S	Mitsiades	Mitsiades CS	Clinical Medicine	Harvard University, USA				f0ad4268-0a9c-4624-9f54-0fb062e916ea
David 	Moher	Moher D	Clinical Medicine	Ottawa Hosp, Canada	University of Ottawa, Canada			7dddad88-04d5-4a9e-9e81-c9ddd927f0c7
Gilles 	Montalescot	Montalescot G	Clinical Medicine	CHU Pitie Salpetriere, France				05d6ef12-98a6-4096-94e6-9589426d0c48
Victor M	Montori	Montori VM	Clinical Medicine	Knowledge & Evaluat Res Unit, USA	Mayo Medical School, USA			48d5edc7-a881-4d77-af3a-e3c3c7299a6b
Dariush 	Mozaffarian	Mozaffarian D	Clinical Medicine	Brigham & Womens Hosp, USA	Harvard University, USA			292240f2-6ebb-48b9-be69-e943f34fb20d
Sabina A	Murphy	Murphy SA	Clinical Medicine	Brigham & Womens Hosp, USA				f416bb3d-b60b-45e4-8d3f-b2e220e8e689
David M	Nathan	Nathan DM	Clinical Medicine	Massachusetts Gen Hosp, USA				462fb0da-dc5a-4914-a38e-3d61ca913c5d
Anne B	Newman	Newman AB	Clinical Medicine	University of Pittsburgh, USA				a3c22314-99d1-4671-95a5-6faa2c9fb662
Graham 	Nichol	Nichol G	Clinical Medicine	University of Washington, USA				efdf5223-e13c-488d-9d97-cdf9e75d027c
Markku S	Nieminen	Nieminen MS	Clinical Medicine	University of Helsinki, Finland				c34c05ff-7133-46a8-afde-daa701c13aba
Steven E	Nissen	Nissen SE	Clinical Medicine	Cleveland Clin, USA				28bb2416-63f8-4c0f-8eed-987b7b79638d
Larry 	Norton	Norton L	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA				7b2dcbe1-c579-4e29-956d-e2a97b669d96
Shuji 	Ogino	Ogino S	Clinical Medicine	Brigham & Womens Hosp, USA	Dana Farber Canc Inst, USA; Harvard University, USA			0c3b03f9-6e23-4cfb-a0c5-8bf7536a9427
Erik Magnus	Ohman	Ohman EM	Clinical Medicine	Duke University, USA				ff5bfd34-bfd1-4c74-8186-ba717534250a
Eric N	Olson	Olson EN	Clinical Medicine	UT Southwestern Medical Center, USA	King Abdulaziz University, Saudi Arabia	http://www.researcherid.com/rid/B-4391-2013	B-4391-2013	55770953-98e4-4a4d-9242-22ade74d94fe
C Kent	Osborne	Osborne CK	Clinical Medicine	Baylor College of Medicine, USA				c2f4d791-a748-4161-81a7-adf96702231f
Richard L	Page	Page RL	Clinical Medicine	University of Wisconsin - Madison, USA				d608c33c-00f3-4455-8b3c-bde17f2e4747
Antonio 	Palumbo	Palumbo A	Clinical Medicine	University of Turin, Italy				2bb1c4eb-7ee2-45ba-a17a-a70926f30a1c
William 	Pao	Pao W	Clinical Medicine	Vanderbilt University, USA				83664e5d-3416-4276-aa88-3fc23d3d5b63
Joseph S M	Peiris	Peiris JS	Clinical Medicine	HKU Pasteur Res Ctr, China	The University of Hong Kong, Hong Kong, China			7f1986d7-ce62-4c9f-a188-52d3bca7b8a9
Michael J	Pencina	Pencina MJ	Clinical Medicine	Duke University, USA				bd02d2d4-4fba-4d52-9a7e-39d1de8e44a2
Edith A	Perez	Perez EA	Clinical Medicine	Mayo Medical School, USA				6553e677-22a5-4b48-8fa0-4984a18b690f
Charles M	Perou	Perou CM	Clinical Medicine	University of North Carolina at Chapel Hill, USA		http://www.researcherid.com/rid/H-9934-2014	H-9934-2014	ca9cdc23-0a31-461c-9f33-7bc0a7e7e5b8
Eric D	Peterson	Peterson ED	Clinical Medicine	Duke Clin Res Inst, USA				b1a025f0-284c-40be-8673-4e6f48415ec4
Richard 	Peto	Peto R	Clinical Medicine	University of Oxford, UK				16172f82-bede-47ca-9d9d-bddf0ef41955
Marc A	Pfeffer	Pfeffer MA	Clinical Medicine	Brigham & Womens Hosp, USA				5b189a30-1fe2-4fa8-b16d-7cb8450b1102
Stuart J	Pocock	Pocock SJ	Clinical Medicine	London School of Hygiene and Tropical Medicine, UK				2070eb94-30d6-462c-95f7-2e3d7a72b82f
Janice 	Pogue	Pogue J	Clinical Medicine	Hamilton Hlth Sci, Canada	McMaster University, Canada			d5c8c33c-8495-498c-a497-d851c4d462fd
Philip Alexander	Poole-Wilson	Poole-Wilson PA	Clinical Medicine	Imperial College London, UK				80dc246c-7e9c-411e-a2b2-cf2cd98a59b2
Jeffrey J	Popma	Popma JJ	Clinical Medicine	Beth Israel Deaconess Med Ctr, USA				e767570e-70ad-4cb7-81bf-6f6a54ac6040
Neil R	Poulter	Poulter NR	Clinical Medicine	Imperial College London, UK				02a4c609-724c-433d-8638-77fef4c52f89
Martin H	Prins	Prins MH	Clinical Medicine	University of Maastricht, Netherlands				51ac825a-82da-4bb0-8532-39acca0a7363
Silvia Giuliana	Priori	Priori SG	Clinical Medicine	IRCCS Salvatore Maugeri Fdn, Italy	New York University, USA; University of Pavia, Italy			568ca2e2-c201-4b2b-888f-f07e0e00bd20
Kathleen I	Pritchard	Pritchard KI	Clinical Medicine	Sunnybrook Odette Canc Ctr, Canada	University of Toronto, Canada	http://www.researcherid.com/rid/I-2184-2014	I-2184-2014	f999fe40-7518-40e7-a23d-520345e6a0a2
Bruce M	Psaty	Psaty BM	Clinical Medicine	University of Washington, USA				d0d49b91-6366-4590-8239-1d580f6cb3d8
Lajos 	Pusztai	Pusztai L	Clinical Medicine	Yale University, USA				0954df39-e90e-4055-b648-7332a6006939
Daniel J	Rader	Rader DJ	Clinical Medicine	University of Pennsylvania, USA				7cdd993f-7dc8-4592-a2cd-322409eb7d30
S Vincent	Rajkumar	Rajkumar SV	Clinical Medicine	Mayo Medical School, USA				244c6370-5000-42de-b226-d5507c3d0d51
Jorge S	Reis-Filho	Reis-Filho JS	Clinical Medicine	Inst Canc Res, UK				f288d4ac-75f0-4125-8d58-049999e45c52
Giuseppe 	Remuzzi	Remuzzi G	Clinical Medicine	IRCCS Mario Negri Institute for Pharmacological Research, Italy	Azienda Ospedaliera Papa Giovanni XXIII, Bergamo, Italy			5eb56bc2-090e-4787-b851-edc70ae30dfb
Nicholas P	Restifo	Restifo NP	Clinical Medicine	NCI, USA				d0d93f2c-1399-499e-9e5d-7f034bb54065
Paul G	Richardson	Richardson PG	Clinical Medicine	Dana Farber Canc Inst, USA				c7c93f22-be6a-438d-a85a-b803671de2b6
Paul M	Ridker	Ridker PM	Clinical Medicine	Brigham & Womens Hosp, USA				526e8fd8-5bd3-486c-970c-dde7aa3d04c2
Nader 	Rifai	Rifai N	Clinical Medicine	Boston Children's Hospital & Harvard Medical School, USA	King Abdulaziz University, Saudi Arabia	http://www.researcherid.com/rid/B-4376-2013	B-4376-2013	f36f5bb3-6fb1-43d0-95ec-2dc7a2d6a7bc
Eric B	Rimm	Rimm EB	Clinical Medicine	Brigham & Womens Hosp, USA	Harvard University, USA			7058d77a-3cdb-4b2c-a53d-dcacc695a29b
Brian I	Rini	Rini BI	Clinical Medicine	Cleveland Clin Fdn, USA				be92b2b1-8541-4530-ac56-0c94f3412a44
Veronique L	Roger	Roger VL	Clinical Medicine	Mayo Medical School, USA				415ebc5d-a11c-489f-adc1-c58e7b437e41
Steven A	Rosenberg	Rosenberg SA	Clinical Medicine	NCI, USA				6b9ba611-ccba-4777-81c9-00357ba3fb5c
Andreas 	Rosenwald	Rosenwald A	Clinical Medicine	University of Wuerzburg, Germany				f51341b1-ac75-4342-a8b9-ce25974e60ee
Peter M	Rothwell	Rothwell PM	Clinical Medicine	University of Oxford, UK				25e4baa8-b19e-4b52-af67-782f0f5f6ac8
Lewis J	Rubin	Rubin LJ	Clinical Medicine	University of California, San Diego, USA				b55a5864-673e-4e80-9313-228044480069
Mark A	Rubin	Rubin MA	Clinical Medicine	Cornell University, USA				0ccdd3af-c556-437c-9ab6-694a033ac7d5
Paul J	Rutgeerts	Rutgeerts PJ	Clinical Medicine	KU Leuven, Belgium				2a029124-a08c-4050-a117-112a86ee8f3e
Giuseppe 	Saglio	Saglio G	Clinical Medicine	University of Turin, Italy				aac8bd41-c2a5-4db0-8af2-a8a62b16fe85
William J	Sandborn	Sandborn WJ	Clinical Medicine	University of California, San Diego, USA				a02f2758-0b96-49ae-bc50-e0e48602a342
Daniel J	Sargent	Sargent DJ	Clinical Medicine	Mayo Medical School, USA				a55d4b15-dfae-4cc6-87dc-ed9fee107b48
Naveed 	Sattar	Sattar N	Clinical Medicine	The University of Glasgow, UK				ced043f7-848c-43f4-a87f-c0ef6de40571
Charles L	Sawyers	Sawyers CL	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA				9afa85b6-14ea-42bf-9282-4fdc33dd256a
Howard I	Scher	Scher HI	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA	Cornell University, USA			b0d04dd4-bd51-47a0-b643-984bc63a1baf
Albert 	Schoemig	Schoemig A	Clinical Medicine	Deutsch Herzzentrum Munich, Germany	Technical University Munich, Germany			5206b1c5-a8ce-47d9-b97a-4879637cd8c6
Stefan 	Schreiber	Schreiber S	Clinical Medicine	University of Kiel, Germany				49e8e1e8-f62d-4d8e-b9f0-b594e00782cd
William R	Sellers	Sellers WR	Clinical Medicine	Novartis Inst BioMed Res, USA				8883d2f4-5337-4136-b086-6c133bceb0c8
Patrick W J C	Serruys	Serruys PW	Clinical Medicine	Erasmus University, Netherlands				980b9b5b-b78e-4843-b927-f64a7420bcbc
Jeffrey 	Settleman	Settleman J	Clinical Medicine	Genentech Inc, USA				df297e07-555b-4dfe-8bbc-ca0943b7ffb0
Jonathan E	Shaw	Shaw JE	Clinical Medicine	Baker IDI Heart & Diabet Inst, Australia	Monash University, Australia			b6809e21-b346-4e89-be9f-588b1219c1dd
Leslee J	Shaw	Shaw LJ	Clinical Medicine	Emory University, USA				0505b9ae-1212-4558-a4d4-00ef1a56829e
Paul G	Shekelle	Shekelle PG	Clinical Medicine	RAND Hlth, USA	W Los Angeles VA Med Ctr, USA			717526cd-c81c-47ef-b6f5-9c720f88151b
Salvatore 	Siena	Siena S	Clinical Medicine	Osped Niguarda Ca Granda, Italy				fee4e488-b36b-4e23-9434-d3a96b05f5f3
Gerald 	Simonneau	Simonneau G	Clinical Medicine	Ctr Chirurg Marie Lannelongue, France	Hop Bicetre, France; University of Paris Sud (Paris 11), France			2492aa9e-94c4-4f40-b0c7-ee2f76264856
David S	Siscovick	Siscovick DS	Clinical Medicine	University of Washington, USA				bb7af3f8-dd52-41f8-b8e9-87f7562b6552
Peter 	Sleight	Sleight P	Clinical Medicine	John Radcliffe Hosp, UK				72f6ac9c-45d2-4612-8e76-a27aa687ff47
George Davey	Smith	Smith GD	Clinical Medicine	University of Bristol, UK				267c38f8-4147-4ad3-9b7e-1c5dfc3021f7
Robert A	Smith	Smith RA	Clinical Medicine	Amer Canc Soc, USA				9d0c5ccd-718e-4eae-a82d-2114b9172d10
Sidney C	Smith	Smith SC	Clinical Medicine	University of North Carolina at Chapel Hill, USA				43a28859-fd32-4d5c-bd77-38cb1e54f470
Josef S	Smolen	Smolen JS	Clinical Medicine	Hietzing Hosp, Austria	Medical University of Vienna, Austria			36e57376-4293-4979-a459-ba8fa12e0267
Scott D	Solomon	Solomon SD	Clinical Medicine	Brigham & Womens Hosp, USA				649d5dce-bfca-4fdb-9ec2-d56d03bcb087
Pieter 	Sonneveld	Sonneveld P	Clinical Medicine	Erasmus MC, Netherlands	Erasmus University, Netherlands			ce29c6f4-603a-41e0-bf41-3646102ce9f5
Jeffrey A	Sosman	Sosman JA	Clinical Medicine	Vanderbilt University, USA				e6a24e60-71d6-4b6a-9ca0-92cb26261767
John A	Spertus	Spertus JA	Clinical Medicine	St Lukes Hosp, USA	University of Missouri - Kansas City, USA			06dd70a8-e02c-415f-907e-76ddd617c3f0
Jan A	Staessen	Staessen JA	Clinical Medicine	KU Leuven, Belgium				71480c7c-3286-4131-9dc2-7af0a0f5d2ff
Meir J	Stampfer	Stampfer MJ	Clinical Medicine	Brigham & Womens Hosp, USA	Harvard University, USA			97089d8f-ec22-4cfa-9d6d-84f25eb7b1a7
Louis M	Staudt	Staudt LM	Clinical Medicine	NCI, USA				223c986b-cf29-4c47-8b52-7de547e9a43b
Marcia L	Stefanick	Stefanick ML	Clinical Medicine	Stanford University, USA				9aa04b0e-4456-4741-91a8-bf5210728721
Philippe Gabriel	Steg	Steg PG	Clinical Medicine	INSERM, France	Hop Bichat Claude Bernard, France; University of Paris Diderot (Paris 7), France; Royal Brompton Hosp, UK			c0b8f4ac-608d-4be7-aaf4-1a0ed441751d
Lynne Warner	Stevenson	Stevenson LW	Clinical Medicine	Brigham & Womens Hosp, USA				8a99d7a5-27e7-46e9-b1b2-1b9418c7acf5
Gregg W	Stone	Stone GW	Clinical Medicine	Columbia University, USA	New York Presbyterian Hosp, USA			61c71d5e-fae7-4678-aaaa-9b7b8ef00b59
Richard M	Stone	Stone RM	Clinical Medicine	Dana Farber Canc Inst, USA				880be3ea-c36e-4251-8a42-42d26c38b901
Michael R	Stratton	Stratton MR	Clinical Medicine	Wellcome Trust Sanger Inst, UK				e88b8ad9-93c1-4935-967f-6ae46a72a302
Karl B	Swedberg	Swedberg KB	Clinical Medicine	University of Gothenburg, Sweden	Imperial College London, UK			5ae34081-4e6b-4e1a-9fbc-f4b366ada9ed
Martin S	Tallman	Tallman MS	Clinical Medicine	Mem Sloan Kettering Canc Ctr, USA				3dcfd152-8865-4d74-8594-7f4fc4c3fec0
Luigi 	Tavazzi	Tavazzi L	Clinical Medicine	GVM Care&Research E.S. Health Science Foundation, Italy				cbbc5824-a6b5-495d-8eb6-b00fc9361487
Ayalew 	Tefferi	Tefferi A	Clinical Medicine	Mayo Medical School, USA				895d3b3c-f097-43eb-84cf-a0fae7208115
Michal 	Tendera	Tendera M	Clinical Medicine	Medical University of Silesia, Poland				2a19c118-d5e4-426d-8add-80db8cd09282
Koon K	Teo	Teo KK	Clinical Medicine	McMaster University, Canada				9f6234c9-1b28-4c05-9400-74c06e85eb0e
Simon G	Thompson	Thompson SG	Clinical Medicine	MRC, UK				05a56aa0-747f-4164-94c4-c4679655c100
James A	Thomson	Thomson JA	Clinical Medicine	Morgridge Inst Res, USA	University of California, Santa Barbara, USA; University of Wisconsin - Madison, USA			2b856759-b4e1-4c3f-ad1c-c2b78a015d92
Michael J	Thun	Thun MJ	Clinical Medicine	Amer Canc Soc, USA				db6ae91e-e31c-4e49-8a24-9fda554af289
Gianni 	Tognoni	Tognoni G	Clinical Medicine	Consorzio Mario Negri Sud, Italy				96d1381c-7a7d-4c82-9e60-6189f1a8bad7
Eric J	Topol	Topol EJ	Clinical Medicine	Scripps Clin, USA	Scripps Translat Sci Inst, USA			d1371c81-d563-429a-b400-ca88052236ee
Christian 	Torp-Pedersen	Torp-Pedersen C	Clinical Medicine	Aalborg University, Denmark				892719ef-8f4e-4ca0-8940-587213264557
Jaakko 	Tuomilehto	Tuomilehto J	Clinical Medicine	Danube University Krems, Austria	King Abdulaziz University, Saudi Arabia			d65d5ece-0e59-477a-ad43-8ecd02e70918
E Murat	Tuzcu	Tuzcu EM	Clinical Medicine	Cleveland Clin, USA				3e8b246d-a17a-4566-bfd5-078b988e979e
Andre G	Uitterlinden	Uitterlinden AG	Clinical Medicine	Erasmus MC, Netherlands	Netherlands Genom Initiat, Netherlands			5672187e-d39f-4d3c-a436-337f8bba93c7
Timothy M	Uyeki	Uyeki TM	Clinical Medicine	Ctr Dis Control & Prevent, USA				709d1a2f-1faa-44b2-956a-aa213118263c
Alec 	Vahanian	Vahanian A	Clinical Medicine	Hop Bichat Claude Bernard, France				56b3d05e-0986-4167-8eff-8c141089deac
Gert 	Van Assche	Van Assche G	Clinical Medicine	KU Leuven, Belgium	University of Toronto, Canada			e9b7a326-0fbd-4495-b2dd-957ea4946823
Eric 	Van Cutsem	Van Cutsem E	Clinical Medicine	KU Leuven, Belgium				f69fa83f-a375-468f-aa83-56ee9e91846c
Marc 	Van De Vijver	Van De Vijver M	Clinical Medicine	University of Amsterdam, Netherlands				536ac2cb-73cd-413a-9019-43a383be1a37
Frans 	Van De Werf	Van De Werf F	Clinical Medicine	KU Leuven, Belgium				47c18610-cac2-49b1-b55c-d80f17bd0c93
Desiree M F M	Van Der Heijde	Van Der Heijde D	Clinical Medicine	Leiden University, Netherlands				e3b2643f-d60c-4706-bb38-2d9b5393e5ed
Laura J	Van'T Veer	Van'T Veer LJ	Clinical Medicine	Netherlands Canc Inst, Netherlands	University of California, San Francisco, USA			2128a33c-fe20-4cbd-8f57-60fa3a2bdafe
Ramachandran S	Vasan	Vasan RS	Clinical Medicine	Boston University, USA	Framingham Heart Dis Epidemiol Study, USA			713c5038-30e6-4607-932d-19250fef5e3f
Victor E	Velculescu	Velculescu VE	Clinical Medicine	Johns Hopkins Kimmel Canc Ctr, USA				420698d0-88c8-47f4-a732-17917a8add18
Severine 	Vermeire	Vermeire S	Clinical Medicine	KU Leuven, Belgium				09a6a84d-b936-4e5d-8c55-04943ced8681
Renu 	Virmani	Virmani R	Clinical Medicine	CVPath Inst, USA				28467287-9bf9-47bf-9dab-f219bd5a7339
Bert 	Vogelstein	Vogelstein B	Clinical Medicine	Johns Hopkins Kimmel Canc Ctr, USA				613b173d-92cf-465f-aaba-d5cf3372776a
Stefano 	Volinia	Volinia S	Clinical Medicine	The Ohio State University - Columbus, USA	University of Ferrara, Italy			49db2eb2-425a-49ce-9392-2e3d55e29468
Lars C	Wallentin	Wallentin LC	Clinical Medicine	Uppsala Clin Res Ctr, Sweden				d2826f33-fc8a-48ec-9898-a5bd6ca27b34
Thomas J	Walsh	Walsh TJ	Clinical Medicine	Cornell University, USA				41fa4076-c896-4183-88a1-54d0d4330cff
Thomas Jue-Fuu	Wang	Wang TJ	Clinical Medicine	Vanderbilt University, USA				d8e44e4a-45aa-4836-a507-7e920eebc525
Elizabeth M	Ward	Ward EM	Clinical Medicine	Amer Canc Soc, USA				9ca14636-89d9-4fc6-b62a-6cc21e6545d6
Nicholas J	Wareham	Wareham NJ	Clinical Medicine	Med Res Council, UK				5296563d-2e9b-45d2-92a4-15dd8574e209
John G	Webb	Webb JG	Clinical Medicine	St Pauls Hosp, Canada	University of British Columbia, Canada			31d691e0-5d57-48a2-942a-1a3a6aad098d
Hans 	Wedel	Wedel H	Clinical Medicine	Nord Sch Publ Hlth, Sweden				09a577d6-0321-40d5-94cd-f64e9deb8157
Ralph 	Weissleder	Weissleder R	Clinical Medicine	Harvard University, USA				dfe59a44-1eee-48a8-9815-1fe243d2fbf6
Irving L	Weissman	Weissman IL	Clinical Medicine	Stanford University, USA				a19633b6-8981-4a55-87bc-c763ca2c4a04
Michael 	Weller	Weller M	Clinical Medicine	University of Zurich, Switzerland				257ea4cb-6663-40a7-b584-2353091a000d
Harvey D	White	White HD	Clinical Medicine	Auckland City Hosp, New Zealand				4c156134-73e5-4996-a87a-ab805c0b3107
Walter C	Willett	Willett WC	Clinical Medicine	Brigham & Womens Hosp, USA	Harvard University, USA			f702d1cb-2575-43d5-856b-85a7f586536e
Peter W F	Wilson	Wilson PW	Clinical Medicine	Emory University, USA	Atlanta Vet Affairs Med Ctr, USA			4b7673b6-774b-4fcb-bec9-3f2ca7999244
Richard K	Wilson	Wilson RK	Clinical Medicine	Washington University in St. Louis, USA				e816f68e-0399-4571-9ee2-cd7fb478f133
Stephan 	Windecker	Windecker S	Clinical Medicine	Bern Univ Hosp, Switzerland	University of Bern, Switzerland			b065ac1b-cb19-475a-9990-7835cc3c1676
Eric P	Winer	Winer EP	Clinical Medicine	Dana Farber Canc Inst, USA				e86f1a1a-b2aa-4986-b64b-f67a9b7ec270
Jacqueline C M	Witteman	Witteman JC	Clinical Medicine	Erasmus MC, Netherlands				3b99f955-7239-4026-8c05-2c882b98df76
